Unnamed: 0,Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source,Primary_C,Secondary_C,Tertiary_C,Quaternary_C,Other_Atom,P_P,P_S,P_T,P_Q,S_S,S_T,S_Q,T_T,T_Q,Q_Q,P_H,S_H,T_H
204,CCCCCCCCCCCCCCCC,1177,±2,2.03,,0.1571,4.0,95.8429,0.96,Ar,4778,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,2.0,14.0,,,,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0
205,CCCCCCCCCCCCCCCC,1172,±2,4.44,,0.0312,1.0,98.9688,0.76,Ar,4577,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,2.0,14.0,,,,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0
207,CCCCCCCCCCCCCCCC,1183,±2,2.05,,0.1207,4.0,95.8793,0.74,Ar,4264,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,2.0,14.0,,,,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0
208,CCCCCCCCCCCCCCCC,1170,±2,4.6,,0.0326,1.0,98.9674,0.8,Ar,5022,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,2.0,14.0,,,,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0
209,CCCCCCCCCCCCCCCC,1267,±2,6.54,,0.0497,1.0,98.9503,1.22,Ar,1902,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,2.0,14.0,,,,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0
210,CCCCCCCCCCCCCCCC,1333,±2,6.77,,0.0493,1.0,98.9507,1.21,Ar,917,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,2.0,14.0,,,,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0
211,CCCCCCCCCCCCCCCC,1165,±2,2.08,,0.129,4.0,95.87100000000001,0.79,Ar,4548,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,2.0,14.0,,,,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0
212,CCCCCCCCCCCCCCCC,1247,±2,1.83,,0.1485,4.0,95.8515,0.91,Ar,2060,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,2.0,14.0,,,,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0
218,CCCCCCCCCC,1154, ±2,5.15, ±9.6,1.895,21.0,77.105,1.4,N2,921,Species,CH, ±9.6,430.0,15.3,Stanford,Haylett_2011_thesis,2.0,8.0,,,,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0
220,CCCCCCCCCC,1131, ±2,4.87, ±9.6,1.494,21.0,77.506,1.1,N2,1252,Species,CH, ±9.6,430.0,15.3,Stanford,Haylett_2011_thesis,2.0,8.0,,,,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0
221,CCCCCCCCCC,1081, ±2,5.14, ±9.6,1.44,21.0,77.56,1.06,N2,1696,Species,CH, ±9.6,430.0,15.3,Stanford,Haylett_2011_thesis,2.0,8.0,,,,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0
231,CCCCCCCCCC,1109, ±2,4.56, ±9.6,1.472,21.0,77.528,1.09,N2,1358,Species,CH, ±9.6,430.0,15.3,Stanford,Haylett_2011_thesis,2.0,8.0,,,,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0
270,CCCCCCC,1229,±1,15.13,,0.1,2.2,97.7,0.5,Ar,708,Species,OH,,306.7,7.5,Stanford,n_heptane_methylcyclohexane,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
275,CCCCCCC,1375,±1,2.282,±1,0.03,0.33,99.64,1.0,Ar,1661,Species,OH,,306.7,15.3,Stanford,n_heptane_oxidation,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
279,CCCCCCC,1230,±1,15.81,,0.1,2.2,97.7,0.5,Ar,698,Species,OH,,306.7,7.5,Stanford,n_heptane_methylcyclohexane,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
296,CCCCCCC,1368,±1,2.86,±1,0.03,0.33,99.64,1.0,Ar,1810,Species,OH,,306.7,15.3,Stanford,n_heptane_oxidation,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
297,CCCCCCC,1456,±1,1.2,,1.2,6.6,92.2,2.0,Ar,361,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
309,CCCCCCC,1494,±1,2.155,±1,0.03,0.33,99.64,1.0,Ar,1330,Species,OH,,306.7,15.3,Stanford,n_heptane_oxidation,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
315,CCCCCCC,1423,±1,1.2,,1.2,6.6,92.2,2.0,Ar,486,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
328,CCCCCCC,1529,±1,1.26,,0.4,2.2,97.4,2.0,Ar,442,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
330,CCCCC,1261,±0.7,3.75,±1,0.5,4.0,95.5,1.0,Ar,1455,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,3.0,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
332,CCCCC,1304,±0.7,1.95,±1,0.5,4.0,95.5,1.0,Ar,1227,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,3.0,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
334,CCCCC,1303,±0.7,3.61,±1,0.5,4.0,95.5,1.0,Ar,832,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,3.0,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
337,CCCCC,1267,±0.7,2.0,±1,0.5,4.0,95.5,1.0,Ar,1845,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,3.0,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
342,CCCCC,1268,±0.7,3.61,±1,0.5,4.0,95.5,1.0,Ar,1296,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,3.0,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
345,CCCCCCCCC,1307,±0.7,1.85,±1,0.28600000000000003,4.0,95.714,1.0,Ar,1002,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,7.0,,,,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0
350,CCCCCCCCC,1288,±0.7,1.68,±1,0.28600000000000003,4.0,95.714,1.0,Ar,1351,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,7.0,,,,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0
355,CCCCCCCCC,1263,±0.7,3.46,±1,0.28600000000000003,4.0,95.714,1.0,Ar,1237,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,7.0,,,,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0
366,CCCCCC,1273,±0.7,3.32,±1,0.42,4.0,95.58,1.0,Ar,1046,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,4.0,,,,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0
371,CCCCCC,1237,±0.7,1.93,±1,0.42,4.0,95.58,1.0,Ar,2706,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,4.0,,,,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0
372,CCCCCC,1250,±0.7,3.1,±1,0.42,4.0,95.58,1.0,Ar,1805,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,4.0,,,,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0
373,CCCCCC,1284,±0.7,1.92,±1,0.42,4.0,95.58,1.0,Ar,1317,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,4.0,,,,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0
377,CCCCCCCC,1282,±0.7,3.37,±1,0.32,4.0,95.68,1.0,Ar,1020,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,6.0,,,,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0
381,CCCCCCCC,1325,±0.7,1.95,±1,0.32,4.0,95.68,1.0,Ar,859,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,6.0,,,,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0
382,CCCCCCCC,1273,±0.7,3.81,±1,0.32,4.0,95.68,1.0,Ar,1064,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,6.0,,,,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0
384,CCCCCCCC,1319,±0.7,3.75,±1,0.32,4.0,95.68,1.0,Ar,614,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,6.0,,,,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0
