log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T
1.32175584,-1.1394342832,1.3862943611,0.0631791761,0.7581501137
0.6729444732,-1.1394342832,1.3862943611,0.0601684717,0.7220216606
0.6981347221,-1.8325814637,1.3862943611,0.0603864734,0.7246376812
0.7839015438,-1.8325814637,1.3862943611,0.0665601704,0.7987220447
1.3376291891,-1.1394342832,1.3862943611,0.0654621629,0.7855459544
1.2781522025,-1.1394342832,1.3862943611,0.0586441473,0.7037297678
0.6678293726,-1.1394342832,1.3862943611,0.0628930818,0.7547169811
1.2149127444,-1.1394342832,1.3862943611,0.0650026001,0.7800312012
0.6471032421,-1.8325814637,1.3862943611,0.0581125058,0.6973500697
0.7275486073,-1.8325814637,1.3862943611,0.0654621629,0.7855459544
0.6830968447,-1.8325814637,1.3862943611,0.0637592451,0.7651109411
0.6259384309,-1.9449106487,1.3862943611,0.0529100529,0.7407407407
1.2753628004,-1.2517634682,1.3862943611,0.052061641,0.7288629738
0.5596157879,-1.9449106487,1.3862943611,0.0536653429,0.7513148009
1.2412685891,-1.2517634682,1.3862943611,0.0565546884,0.7917656374
0.5766133643,-1.9449106487,1.3862943611,0.0510568774,0.7147962831
0.6729444732,-1.9449106487,1.3862943611,0.0556297285,0.7788161994
0.6471032421,-1.2517634682,1.3862943611,0.0537056928,0.7518796992
0.6205764877,-1.2517634682,1.3862943611,0.052252064,0.7315288954
0.652325186,-1.9449106487,1.3862943611,0.0547345375,0.7662835249
0.5877866649,-1.2517634682,1.3862943611,0.0516102395,0.7225433526
0.5988365011,-1.9449106487,1.3862943611,0.0485908649,0.6802721088
0.1823215568,0.1823215568,1.887069649,0.0686813187,0.6868131868
0.5423242908,-2.9957322736,-0.5978370008,0.0716845878,0.7168458781
4.0552571735,0.6280751838,3.0252910758,0.0993048659,0.9930486594
0.2231435513,-1.0216512475,1.4816045409,0.0666222518,0.6662225183
0.1988508587,0.1823215568,2.5802168296,0.0687285223,0.6872852234
0.7677907236,-3.5065578973,-1.1086626245,0.0669344043,0.6693440428
0.7561219797,-1.6094379124,0.7884573604,0.068119891,0.6811989101
0.1310282624,0.1823215568,2.1747517215,0.0682593857,0.6825938567
0.7654678421,-0.9162907319,1.4816045409,0.069735007,0.6973500697
0.1988508587,-0.9162907319,2.1747517215,0.0742390497,0.7423904974
