Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-1.1802,-0.6252,-0.4401,0.1184,2.136,9.1012,0.590955400791846,0.5302320385085553
-1.3942,-0.6336,-0.4321,0.0973,2.0864,9.4676,0.6035467214149001,0.37068988547112347
-1.3321,-0.6069,-0.4264,0.1207,2.4964,9.2631,0.6219248329737608,-0.4833922470811203
-1.3777,-0.6281,-0.4354,0.1231,2.459,9.3196,0.5967345765626944,0.276138326386725
-1.7865,-0.6267,-0.3807,0.0109,2.187,10.2037,0.6550951929671577,0.3807600515829401
-1.1835,-0.5920000000000001,-0.4344,0.1134,3.1717,8.9877,0.5756702801445033,0.4174494171601044
-1.2771,-0.6295,-0.4703,0.1547,2.1165,9.1111,0.5889560976379844,0.6738358632990911
-1.6239,-0.652,-0.39,0.0519,2.5906,9.8759,0.6246732446274974,0.16084694110612766
-1.6943,-0.6509,-0.481,0.1482,3.0987,9.6216,0.6172988146628078,0.3118034131966377
-1.4980000000000002,-0.6128,-0.4546,0.1128,2.8128,9.3942,0.6014550827744223,0.2738978422252295
-1.256,-0.5985,-0.4487,0.1304,2.583,9.0689,0.591660976209824,0.6118830897421361
-1.4543,-0.6153,-0.4435,0.1038,2.3779,9.4172,0.6063841041896278,0.36079938113173615
-1.436,-0.6266,-0.4969,0.1936,2.7699,9.1384,0.5966637437686546,-0.15490891151750175
-1.1155,-0.6267,-0.4251,0.1573,1.7006,8.9844,0.613777354417925,-0.06051779678824596
-1.6048,-0.6345,-0.4476,0.1123,2.588,9.619,0.6154900332757915,0.6834422037261543
-1.1307,-0.6227,-0.4601,0.151,2.4925,8.9326,0.5982513305821786,-0.19050434089690385
-1.3618,-0.6179,-0.4562,0.1491,2.1797,9.2185,0.6159155228033442,-0.05398079471332573
-1.4455,-0.6353,-0.4827,0.1787,2.8257,9.2158,0.6029173135487131,0.6034806862312359
-1.9916,-0.6713,-0.4687,0.0976,2.5668,10.154,0.6327390465287619,0.4314305893699745
-1.1384,-0.6365,-0.42,0.1634,2.0514,8.9636,0.6050623111402034,0.41614312207277904
-1.6822,-0.6439,-0.4834,0.1381,3.3621,9.5516,0.6048749378086551,0.4956948875907588
-1.2561,-0.6196,-0.4615,0.1305,2.1724,9.1342,0.5891247900203394,0.4917416361630711
-1.2305,-0.6068,-0.4631,0.1403,2.4082,9.0604,0.5903388633075856,-0.13365188679449513
