,y_predicted,y_actual,Relative Error
188,7.988786888211468,7.351799869057777,0.0866436832475051
93,6.156954455393842,6.74993119378857,0.08784930118108439
206,7.242533809477967,7.017506142941256,0.032066614827699305
124,5.269776084289926,5.043425116919247,0.044880406097700734
325,5.623037334087144,5.855071922202427,0.03962967341791453
221,7.483378053116648,7.510977752014095,0.0036745813672588766
49,5.684382876276626,5.998936561946683,0.052434907824393244
18,5.1197371813306285,5.602118820879701,0.08610699897174336
54,5.410782086823867,5.187385805840755,0.04306529133259737
46,4.488835453076877,4.762173934797756,0.057397836673617295
61,5.739486749782804,5.945420608606575,0.03463739109150021
179,5.407481703337707,5.181783550292085,0.04355607501839783
169,5.609428029208571,5.272999558563747,0.06380210483773682
35,5.3890819102278495,5.093750200806762,0.05797922901172338
296,5.8981350362980685,5.459585514144159,0.0803265231431504
136,5.352740730830888,5.017279836814924,0.06686110899266115
249,6.478673268224432,6.669498089857879,0.028611571524944226
170,5.916781531952471,5.846438775057725,0.012031727278979602
73,6.307592059160643,5.902633333401366,0.06860645120335158
166,6.418547109614157,6.522092798170152,0.015876144630301153
186,7.108925020265215,6.96979066990159,0.01996248624287437
138,5.164636056142346,5.0106352940962555,0.03073477772919143
354,7.42709721777761,7.727535110475448,0.03887887772784937
327,6.667226566231182,6.284134161070802,0.06096184380237711
110,5.79666491989145,6.184148890937483,0.06265760703366456
60,5.315434031312984,5.10594547390058,0.04102835772203601
189,6.538009241404663,6.974478911025045,0.06258097202508191
226,8.3543411199469,8.713582005421628,0.04122769318647679
112,5.713415754994639,5.616771097666572,0.01720644399559331
231,5.535643545285577,5.3612921657094255,0.03252040257967936
44,5.508549542107662,5.0689042022202315,0.08673380327346916
378,6.603872298209102,6.4967749901858625,0.01648468789284258
309,5.951826487798608,5.66988092298052,0.04972689350059166
177,7.669641602504876,7.330405211844402,0.046277986121741034
279,8.706231262770405,8.965079015408355,0.028872891381444134
208,7.045704681190881,7.392647520721623,0.04693079692468224
0,6.62539364990272,6.777646593635117,0.022463983866520508
148,4.616081283796731,5.176149732573829,0.10820174796191699
