,Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source,Primary_C,Secondary_C,Tertiary_C,Quaternary_C,Other_Atom,P_P,P_S,P_T,P_Q,S_S,S_T,S_Q,T_T,T_Q,Q_Q,P_H,S_H,T_H
683,CCCCCCC,1465,±1,1.14,,1.2,8.8,90,1.5,Ar,189,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
684,CCCCCCC,1461,±1,1.23,,1.2,8.8,90,1.5,Ar,189,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
685,CCCCCCC,1409,±1,1.27,,1.2,8.8,90,1.5,Ar,321,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
686,CCCCCCC,1411,±1,1.29,,1.2,8.8,90,1.5,Ar,311,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
687,CCCCCCC,1386,±1,1.24,,1.75,19.7,78.55,1,Ar,177,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
688,CCCCCCC,1329,±1,1.19,,1.75,19.7,78.55,1,Ar,382,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
689,CCCCCCC,1330,±1,1.16,,1.75,19.7,78.55,1,Ar,382,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
690,CCCCCCC,1501,±1,2.08,,0.2,2.2,97.6,1,Ar,150,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
691,CCCCCCC,1468,±1,2.13,,0.2,2.2,97.6,1,Ar,216,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
692,CCCCCCC,1432,±1,2.15,,0.2,2.2,97.6,1,Ar,345,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
693,CCCCCCC,1547,±1,2.07,,0.2,2.2,97.6,1,Ar,100,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
694,CCCCCCC,1375,±1,5.68,,0.4,4.4,95.2,1,Ar,271,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
695,CCCCCCC,1431,±1,5.71,,0.4,4.4,95.2,1,Ar,120,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
696,CCCCCCC,1400,±1,5.63,,0.4,4.4,95.2,1,Ar,190,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
697,CCCCCCC,1421,±1,5.69,,0.4,4.4,95.2,1,Ar,138,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
698,CCCCCCC,1372,±1,5.57,,0.4,4.4,95.2,1,Ar,279,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
699,CCCCCCC,1442,±1,5.65,,0.4,4.4,95.2,1,Ar,117,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
700,CCCCCCC,1419,±1,5.41,,0.4,4.4,95.2,1,Ar,158,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
701,CCCCCCC,1423,±1,1.2,,1.2,6.6,92.2,2,Ar,486,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
702,CCCCCCC,1516,±1,1.21,,1.2,6.6,92.2,2,Ar,205,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
703,CCCCCCC,1456,±1,1.2,,1.2,6.6,92.2,2,Ar,361,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
704,CCCCCCC,1551,,2.14,,0.03,0.33,99.64,1,Ar,207,Species,OH,±5,306.7,8.9,Stanford,n_Alkane_Oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
705,CCCCCCC,1640,,2.04,,0.03,0.33,99.64,1,Ar,99,Species,OH,±5,306.7,8.9,Stanford,n_Alkane_Oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
706,CCCCCCC,1784,,2.12,,0.03,0.33,99.64,1,Ar,47,Species,OH,±5,306.7,8.9,Stanford,n_Alkane_Oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
707,CCCCCCC,1540,,3.67,,0.03,0.33,99.64,1,Ar,181,Species,OH,±5,306.7,8.9,Stanford,n_Alkane_Oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
708,CCCCCCC,1649,,3.8,,0.03,0.33,99.64,1,Ar,73,Species,OH,±5,306.7,8.9,Stanford,n_Alkane_Oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
709,CCCCCCC,1710,,3.75,,0.03,0.33,99.64,1,Ar,49,Species,OH,±5,306.7,8.9,Stanford,n_Alkane_Oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
