Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCCCCCCCCCCC,1003,±1,4.68,±9.3,0.742,21,78.258,0.65,Ar,4081,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1147,±1,4.97,±9.3,1.276,21,77.724,1.12,Ar,357,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1220,±1,8.63,±9.3,0.4879,21,78.5121,0.43,Ar,292,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1172,±1,5.33,±9.3,0.7078,21,78.2922,0.62,Ar,663,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1011,±1,6.57,±9.3,1.179,21,77.821,1.04,Ar,1100,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,940,±1,7,±9.3,1.166,21,77.834,1.03,Ar,2599,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,958,±1,6.57,±9.3,1.169,21,77.831,1.03,Ar,2041,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,921,±1,6.25,±9.3,0.9985,21,78.0015,0.88,Ar,5556,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1037,±1,5.69,±9.3,0.5463,21,78.4537,0.48,Ar,2607,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1049,±1,5.76,±9.3,0.5734,21,78.4266,0.51,Ar,2581,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1126,NaN,6.7,NaN,0.57,21,78.43,0.5,N2,1069,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1145,NaN,6.7,NaN,0.57,21,78.43,0.5,N2,605,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1173,NaN,6.7,NaN,0.57,21,78.43,0.5,N2,475,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1175,NaN,6.7,NaN,0.57,21,78.43,0.5,N2,675,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1187,NaN,7.1,NaN,0.21,21,78.79,0.18,N2,793,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1141,NaN,6.7,NaN,0.57,21,78.43,0.5,N2,680,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1187,NaN,6.7,NaN,0.57,21,78.43,0.5,N2,395,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1224,NaN,6.7,NaN,0.57,21,78.43,0.5,N2,253,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1243,NaN,7.53,NaN,0.39,21,78.61,0.34,N2,130,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1249,NaN,6.7,NaN,0.57,21,78.43,0.5,N2,84,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1108,NaN,6.7,NaN,0.57,21,78.43,0.5,N2,1339,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1196,NaN,6.7,NaN,0.57,21,78.43,0.5,N2,229,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1238,NaN,6.7,NaN,0.57,21,78.43,0.5,N2,109,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1330,NaN,2.25,NaN,0.0445,0.75,99.2055,1,N2,1592,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1403,NaN,2.41,NaN,0.0445,0.75,99.2055,1,N2,586,Speceis,CH,NaN,430,15.3,Stanford,n_Dodecane_Nano
