Fuel,Primary Carbon,Secondary Carbon,Tertiary Carbon,Quaternary Carbon,T(K),T+AF8-Error(+ACU-),P(atm),P+AF8-Error(+ACU-),Fuel(+ACU-),Oxidizer(+ACU-),Diluant(+ACU-),Equv(phi),Diluant Type,Time(+A7w-s),Mode+AF8-of+AF8-measurement,Species+AF8-name,Species+AF8-measurement+AF8-Error,Measured+AF8-wavelength(nm),Shocktube+AF8-dia(cm),Research+AF8-group,Data+AF8-Source
C,0,0,0,0,2460,NaN,0.91,NaN,0.1,0.4034,99.4966,0.5,Ar,27.5,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2056,NaN,1.036,NaN,0.0997,0.1996,99.7007,1,Ar,632,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2145,NaN,1.063,NaN,0.1002,0.2,99.6998,1,Ar,287,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2166,NaN,1.098,NaN,0.1002,0.2,99.6998,1,Ar,305,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2190,NaN,1.13,NaN,0.0997,0.1996,99.7007,1,Ar,230,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2216,NaN,1.081,NaN,0.1002,0.2,99.6998,1,Ar,195,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2169,NaN,0.497,NaN,0.1007,0.2014,99.6979,1,Ar,590,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2223,NaN,0.348,NaN,0.1007,0.2014,99.6979,1,Ar,650,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2279,NaN,0.49,NaN,0.1007,0.2014,99.6979,1,Ar,403,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2299,NaN,0.472,NaN,0.1007,0.2014,99.6979,1,Ar,355,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2623,NaN,0.413,NaN,0.1007,0.2014,99.6979,1,Ar,140,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,1203,NaN,50.5,NaN,3.8,19.2,77,0.4,Ar,694,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1232,NaN,50,NaN,3.8,19.2,77,0.4,Ar,555,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1268,NaN,49,NaN,3.8,19.2,77,0.4,Ar,406,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1285,NaN,44.4,NaN,3.8,19.2,77,0.4,Ar,415,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1319,NaN,48.9,NaN,3.8,19.2,77,0.4,Ar,261,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1359,NaN,47.3,NaN,3.8,19.2,77,0.4,Ar,206,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1137,NaN,100.9,NaN,3.8,19.2,77,0.4,Ar,661,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1169,NaN,98.8,NaN,3.8,19.2,77,0.4,Ar,541,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1198,NaN,96.2,NaN,3.8,19.2,77,0.4,Ar,440,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1207,NaN,94.7,NaN,3.8,19.2,77,0.4,Ar,392,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1268,NaN,98.2,NaN,3.8,19.2,77,0.4,Ar,241,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1292,NaN,100,NaN,3.8,19.2,77,0.4,Ar,191,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1312,NaN,94.5,NaN,3.8,19.2,77,0.4,Ar,169,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1361,NaN,94.7,NaN,3.8,19.2,77,0.4,Ar,114,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1198,NaN,161.2,NaN,3.8,19.2,77,0.4,Ar,253,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1250,NaN,150.8,NaN,3.8,19.2,77,0.4,Ar,177,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1325,NaN,39.8,NaN,20,13.3,66.7,3,Ar,654,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1346,NaN,47.5,NaN,20,13.3,66.7,3,Ar,361,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1383,NaN,38.5,NaN,20,13.3,66.7,3,Ar,391,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1431,NaN,34.5,NaN,20,13.3,66.7,3,Ar,250,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1536,NaN,35.6,NaN,20,13.3,66.7,3,Ar,102,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1167,NaN,91,NaN,20,13.3,66.7,3,Ar,572,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1196,NaN,80.9,NaN,20,13.3,66.7,3,Ar,681,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1203,NaN,77.7,NaN,20,13.3,66.7,3,Ar,622,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1206,NaN,83,NaN,20,13.3,66.7,3,Ar,541,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1363,NaN,91.8,NaN,20,13.3,66.7,3,Ar,152,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1418,NaN,92.9,NaN,20,13.3,66.7,3,Ar,95,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1179,NaN,106,NaN,20,13.3,66.7,3,Ar,414,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1182,NaN,132.2,NaN,20,13.3,66.7,3,Ar,280,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1182,NaN,102.8,NaN,20,13.3,66.7,3,Ar,419,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1156,NaN,114,NaN,20,13.3,66.7,3,Ar,421,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1244,NaN,114.4,NaN,20,13.3,66.7,3,Ar,254,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1380,NaN,120,NaN,20,13.3,66.7,3,Ar,77,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1209,NaN,178.4,NaN,20,13.3,66.7,3,Ar,170,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1254,NaN,163,NaN,20,13.3,66.7,3,Ar,157,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1372,NaN,164,NaN,20,13.3,66.7,3,Ar,71,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1176,NaN,262.5,NaN,20,13.3,66.7,3,Ar,98,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1239,NaN,263.6,NaN,20,13.3,66.7,3,Ar,70,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1301,NaN,256.2,NaN,20,13.3,66.7,3,Ar,55,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1191,NaN,51.5,NaN,27.3,18.2,54.5,3,Ar,847,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1295,NaN,46.6,NaN,27.3,18.2,54.5,3,Ar,530,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1362,NaN,44.9,NaN,27.3,18.2,54.5,3,Ar,221,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1215,NaN,71.3,NaN,27.3,18.2,54.5,3,Ar,411,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
