,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,log_T0/T
178,1.0,0.12221763272424911,0.0,1.1786549963416462,0.15451174289245984,-0.48119081863629987
179,1.0,0.12221763272424911,0.0,1.1786549963416462,0.15852885225110971,-0.45552430798090127
218,1.0,0.19885085874516517,-0.916290731874155,0.7884573603642703,0.06176652254478073,-0.481808674695498
225,1.0,0.7514160886839212,-0.916290731874155,1.4816045409242156,0.07225433526011561,-0.3249778571954778
237,1.0,0.26236426446749106,0.1823215567939546,2.580216829592325,0.0749063670411985,-0.2889312918522128
244,1.0,0.23901690047049992,0.1823215567939546,2.174751721484161,0.07097232079488999,-0.34288023291654307
245,1.0,0.25464221837358075,0.1823215567939546,2.174751721484161,0.07087172218284904,-0.344298672870677
253,1.0,1.7369512327330598,-0.916290731874155,1.4816045409242156,0.07272727272727272,-0.3184537311185346
255,1.0,1.728109442151599,-0.916290731874155,1.4816045409242156,0.07142857142857142,-0.3364722366212129
257,1.0,1.7173950539391927,-0.916290731874155,1.4816045409242156,0.0728862973760933,-0.31626952930369356
260,1.0,0.1823215567939546,0.1823215567939546,1.8870696490323797,0.07027406886858749,-0.3527673191077153
261,1.0,0.1906203596086497,0.1823215567939546,1.8870696490323797,0.06596306068601583,-0.41607528722017995
262,1.0,0.1823215567939546,0.1823215567939546,1.8870696490323797,0.06868131868131869,-0.37569294977449424
277,1.0,1.0508216248317612,-3.506557897319982,-1.1086626245216111,0.07309941520467836,-0.3133498192003587
278,1.0,0.8250522514398839,-3.506557897319982,-1.1086626245216111,0.07272727272727272,-0.3184537311185346
280,1.0,0.767790723555711,-3.506557897319982,-1.1086626245216111,0.06693440428380187,-0.4014570867106256
