Constant,P_H,P_S,S_H,S_S,Temp(K),Testing_R2,Training_R2,log_Fuel(%),log_Oxidizer(%),log_P(atm)
101.9774,-19.287,-6.428999999999999,-1.3146,2.5572,-42.5209,0.9009205138776728,0.9077253637822604,-0.1428,-0.3372,-1.0473
102.0332,-19.3043,-6.4348,-1.319,2.5579,-42.5358,0.8926227715083404,0.9084797027794514,-0.14800000000000002,-0.3338,-1.0473
100.7982,-19.0187,-6.3396,-1.2924,2.5236,-42.0296,0.8910291748331945,0.9093097876005622,-0.1448,-0.3376,-1.0387
103.0114,-19.5076,-6.5025,-1.3245,2.589,-42.9687,0.8770181213803774,0.9130518531022759,-0.1285,-0.3593,-1.0471
102.4463,-19.4063,-6.4688,-1.3225,2.5731,-42.7132,0.8976627611790781,0.9082593138765774,-0.1439,-0.3378,-1.046
104.416,-19.8547,-6.6182,-1.3486,2.6348,-43.5611,0.8780329441570536,0.913187924515098,-0.1351,-0.3518,-1.0478
102.4421,-19.4155,-6.4718,-1.3165,2.5776,-42.6951,0.8889674751044514,0.9098393228391332,-0.1267,-0.3577,-1.0406
103.3572,-19.6288,-6.5429,-1.3393,2.6018,-43.0621,0.8837006269105048,0.910820583554264,-0.1358,-0.3476,-1.0485
101.0185,-19.0865,-6.3622,-1.3013,2.5305,-42.105,0.8809503382464973,0.9113856577874913,-0.1486,-0.3228,-1.0456
101.9538,-19.302,-6.434,-1.3127,2.5606,-42.4776,0.8955375807295173,0.9080671355367076,-0.1311,-0.3501,-1.0437
101.2894,-19.1233,-6.3744,-1.2976,2.5384,-42.2276,0.9001769436333378,0.90802698941945,-0.1308,-0.3504,-1.0427
102.9476,-19.5051,-6.5017,-1.3306,2.5856,-42.917,0.8913513421879287,0.9098014451426358,-0.135,-0.3491,-1.0513
102.2271,-19.3281,-6.4427,-1.3187,2.562,-42.6561,0.8900832008697189,0.9101898904854444,-0.1508,-0.3295,-1.0481
101.6626,-19.2108,-6.4036,-1.3084,2.5476,-42.4131,0.9101173135970576,0.905356403677195,-0.1533,-0.3328,-1.041
101.1865,-19.1356,-6.3785,-1.3049,2.5368,-42.1701,0.9034189156380018,0.9062792484620794,-0.1547,-0.3247,-1.0412
