Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306,Species,4,2.01,±1,Stanford,14.13,±3,OH,1380,±0.7,220
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.857,0.5,CCCCCCCCC,0.143,306,Species,4,1.67,±1,Stanford,14.13,±3,OH,1403,±0.7,190
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.857,0.5,CCCCCCCCC,0.143,306,Species,4,1.78,±1,Stanford,14.13,±3,OH,1399,±0.7,180
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.857,0.5,CCCCCCCCC,0.143,306,Species,4,1.84,±1,Stanford,14.13,±3,OH,1385,±0.7,231
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.857,0.5,CCCCCCCCC,0.143,306,Species,4,1.82,±1,Stanford,14.13,±3,OH,1470,±0.7,93
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1,CCCCCCCCCC,0.2,431,Species,3.1,1.22,,Stanford,15.3,±5,CH,1516, ±1.5,124
n_Alkane_Oxidation,Ar,99.505,1,CCCCCCCCCC,0.03,431,Species,0.465,2.21,,Stanford,8.9,±5,CH,1525, ±1.5,154
n_Alkane_Oxidation,Ar,99.505,1,CCCCCCCCCC,0.03,431,Species,0.465,2.08,,Stanford,8.9,±5,CH,1661, ±1.5,87
n_Alkane_Oxidation,Ar,99.3883,0.8,CCCCCCCCCC,0.03,431,Species,0.5817,2.11,,Stanford,8.9,±5,CH,1462, ±1.5,206
n_Alkane_Oxidation,Ar,99.5825,1.2,CCCCCCCCCC,0.03,431,Species,0.3875,2.25,,Stanford,8.9,±5,CH,1602, ±1.5,124
n_Alkane_Oxidation,Ar,99.1505,0.7,CCCCCCCCCC,0.0365,431,Species,0.813,1.61,,Stanford,8.9,±5,CH,1524, ±1.5,144
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,76.862,1.88,CCCCCCCCCCCC,2.138,430,Speceis,21,5.04,±9.3,Stanford,15.3,,CH,979,±1,306
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.01,1.75,CCCCCCCCCCCC,1.99,430,Speceis,21,6.46,±9.3,Stanford,15.3,,CH,988,±1,260
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.198,1.59,CCCCCCCCCCCC,1.802,430,Speceis,21,6.31,±9.3,Stanford,15.3,,CH,939,±1,544
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.2428,0.67,CCCCCCCCCCCC,0.7572,430,Speceis,21,6.23,±9.3,Stanford,15.3,,CH,1249,±1,114
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.1724,0.73,CCCCCCCCCCCC,0.8276,430,Speceis,21,6.42,±9.3,Stanford,15.3,,CH,1284,±1,80
n_Dodecane_Nano,N2,78.61,0.34,CCCCCCCCCCCC,0.39,430,Speceis,21,7.53,,Stanford,15.3,,CH,1243,,130
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1249,,84
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1238,,109
n_Dodecane_Nano,N2,99.2,1,CCCCCCCCCCCC,0.05,430,Speceis,0.75,2.25,,Stanford,15.3,,CH,1477,,216
n_Dodecane_Nano,N2,99.203,1,CCCCCCCCCCCC,0.047,430,Speceis,0.75,2.24,,Stanford,15.3,,CH,1528,,116
n_Dodecane_Nano,N2,99.206,1,CCCCCCCCCCCC,0.044,430,Speceis,0.75,2.17,,Stanford,15.3,,CH,1536,,140
n_Dodecane_Nano,N2,99.204,1,CCCCCCCCCCCC,0.046,430,Speceis,0.75,2.17,,Stanford,15.3,,CH,1607,,84
n_Dodecane_Nano,N2,99.203,1,CCCCCCCCCCCC,0.047,430,Speceis,0.75,2.09,,Stanford,15.3,,CH,1612,,80
n_Dodecane_Nano,N2,99.212,1,CCCCCCCCCCCC,0.0428,430,Speceis,0.7452,2.13,,Stanford,15.3,,CH,1645,,91
n_Dodecane_Nano,N2,99.1885,1,CCCCCCCCCCCC,0.048,430,Speceis,0.7635,2.14,,Stanford,15.3,,CH,1618,,96
n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306,Species,20.89,26,,Stanford,5,±5,OH,747,±1,2243
n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306,Species,20.89,25,,Stanford,5,±5,OH,806,±1,1522
n_Dodecane / Vasu_2010_thesis,N2,78.107,1,CCCCCCCCCCCC,1.123,306,Species,20.77,26.9,,Stanford,5,±5,OH,818,±1,881
n_Dodecane / Vasu_2010_thesis,N2,78.107,1,CCCCCCCCCCCC,1.123,306,Species,20.77,23.3,,Stanford,5,±5,OH,822,±1,805
n_Dodecane / Vasu_2010_thesis,N2,78.107,1,CCCCCCCCCCCC,1.123,306,Species,20.77,25.9,,Stanford,5,±5,OH,855,±1,875
n_Dodecane / Vasu_2010_thesis,N2,78.107,1,CCCCCCCCCCCC,1.123,306,Species,20.77,22.5,,Stanford,5,±5,OH,869,±1,1040
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1,CCCCCCCCCC,0.2,431,Species,3.1,1.23,,Stanford,15.3,±5,CH,1470, ±1.5,180
n_Alkane_Oxidation,Ar,99.505,1,CCCCCCCCCC,0.03,431,Species,0.465,2.12,,Stanford,8.9,±5,CH,1574, ±1.5,119
n_Dodecane_Nano,N2,99.205,1,CCCCCCCCCCCC,0.045,430,Speceis,0.75,2.14,,Stanford,15.3,,CH,1583,,90
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86,0.5,CCCC,1,431,Speceis,13,1.11,±1,Stanford,15.3,±5,CH,1412,±1,149
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.857,0.5,CCCCCCCCC,0.143,306,Species,4,1.78,±1,Stanford,14.13,±3,OH,1399,±0.7,180
n_Alkane_Oxidation,Ar,99.3883,0.8,CCCCCCCCCC,0.03,431,Species,0.5817,2.11,,Stanford,8.9,±5,CH,1462, ±1.5,206
