Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-1.7987,-0.6144,-0.5012,0.1246,2.3081,9.8454,0.8772818729738758,0.8589372925324087
-2.108,-0.6522,-0.5096,0.1241,2.8908,10.2514,0.8859643488165878,0.8973997579358625
-2.0955,-0.629,-0.516,0.109,2.8404,10.2567,0.871100778445518,0.7082156441352305
-1.9469999999999998,-0.6195,-0.5101,0.1135,3.3371,9.9857,0.8793204471301269,0.658652802108326
-2.3471,-0.596,-0.5414,0.1173,4.3582,10.2894,0.8713931434746984,0.9533654309925113
-1.7263,-0.6624,-0.4528,0.0938,1.7197,10.0694,0.8821965789420955,0.8034354496627218
-2.0539,-0.6309,-0.5162,0.1138,2.9166,10.1623,0.877229995349771,0.9124283331341928
-2.6297,-0.6515,-0.5525,0.1139,3.8634,10.8415,0.8836853068718866,0.8748900662136144
-2.0274,-0.6263,-0.5286,0.1485,3.5252,9.9683,0.8808053504437781,0.759207224021903
-1.7763,-0.6186,-0.4926,0.1125,2.4215,9.8801,0.8732831027490319,0.8552360806316224
-1.7974,-0.6204,-0.5143,0.1168,2.2501,9.8852,0.8753770601583134,0.7853968560936566
-1.7393,-0.6497,-0.517,0.1573,2.6576,9.7469,0.8827784904941294,0.8763092828690369
-1.6758,-0.6138,-0.5002,0.1205,2.0702,9.7455,0.8744999470591261,0.6478029793182305
-2.2840000000000003,-0.6547,-0.5306,0.1007,3.4425,10.4963,0.8747600826257058,0.8126661683827279
-2.2108,-0.6284,-0.5341,0.1165,3.2246,10.3291,0.870133834021665,0.8293954012579392
-1.6677,-0.6218,-0.5135,0.1465,1.7683,9.6889,0.8909254677990864,0.7345620471869017
-1.6635,-0.6125,-0.5044,0.0978,1.9991,9.7858,0.8755168163800533,0.6736329101261351
-2.0541,-0.6474,-0.52,0.115,2.5899,10.2519,0.8820506088601275,0.7660418528886375
-2.0577,-0.6093,-0.5281,0.1389,3.4137,10.017,0.8671386225678384,0.8438333775096518
-1.8193,-0.6063,-0.5069,0.1171,3.1679,9.8103,0.8643405446343093,0.8989311620149265
-1.8806,-0.6515,-0.517,0.1228,2.2411,10.0359,0.8848729477398783,0.8504275229144868
-1.6541,-0.6188,-0.501,0.1265,1.8639,9.7168,0.8834705985494907,0.7554175997340531
-1.9204,-0.6194,-0.5574,0.1761,2.6669,9.8061,0.880662334210025,0.8597360776721306
-1.9748,-0.6535,-0.5356,0.183,2.1945,9.9483,0.8822609042921172,0.7070416493175098
-2.0477,-0.6077,-0.5511,0.1446,2.98,9.9796,0.8801798242458928,0.7362983255885345
-1.7567,-0.6066,-0.5422,0.1668,2.6817,9.644,0.870904539464155,0.8850701689026454
-1.7796,-0.6038,-0.5165,0.1321,2.8386,9.7343,0.8700981467577181,0.8347584497599809
-1.9242,-0.6132,-0.5262,0.1227,2.7423,9.9563,0.8712762341814185,0.9291016170604606
-1.7875,-0.6183,-0.4932,0.1298,2.8202,9.8099,0.866022352322622,0.8999051722532457
-1.9548,-0.6227,-0.5645,0.1858,2.9921,9.7991,0.8756901797434984,0.9013086148968428
-1.9083,-0.6428,-0.5019,0.1109,2.4089,10.097,0.8702556702776351,0.9505588886390068
-2.1769,-0.6082,-0.5367,0.1079,3.4742,10.2401,0.8775258770006057,0.8225641033369677
-1.9767,-0.6218,-0.5396,0.1479,3.3083,9.9061,0.8824419170838572,0.7630294455054923
-2.2705,-0.6377,-0.5579999999999999,0.175,3.9512,10.1687,0.8823196625580182,0.8798561100762609
-1.7947,-0.5972,-0.5094,0.1142,2.6994,9.7925,0.8748865827196157,0.8546228560427246
